NAME,PAID,TYPE,BASE,20',40',40HQ
"BUNKER ADJUSTMENT FACTOR
(CBF)",Prepaid,CNTR,DRY,USD 0.00,USD 0.00,USD 0.00
"LOADING DOCUMENTATION FEE
(LDF/BL)",Prepaid,BL,DRY,CNY 280.00,CNY 280.00,CNY 280.00
"LOADING PORT TERMINAL HANDLING CHARGE
(LTH)",Prepaid,CNTR,DRY,CNY 736.00,"CNY 1,104.00","CNY 1,104.00"
"LOW SULPHUR FUEL SURCHARGE
(LSS)",Prepaid,CNTR,DRY,USD 90.00,USD 180.00,USD 180.00
"BUNKER ADJUSTMENT FACTOR
(NBF)",Collect,CNTR,DRY,USD 190.00,USD 380.00,USD 380.00
"CLEANING/WATCHING OF CONTAINERS
(CLC)",Collect,CNTR,DRY,"KRW 35,000.00","KRW 50,000.00","KRW 50,000.00"
"CONTAINER IMBALANCE CHG
(CIC)",Collect,CNTR,DRY,USD 40.00,USD 80.00,USD 80.00
"COST RECOVERY SURCHARGE
(CRS)",Collect,CNTR,DRY,waive,waive,waive
"CURRENCY ADJUSTMENT FACTOR
(CAF)",Collect,CNTR,DRY,USD 30.00,USD 60.00,USD 60.00
"DOCUMENTATION FEE
(DOF/BL)",Collect,BL,DRY,"KRW 40,000.00","KRW 40,000.00","KRW 40,000.00"
"PORT SAFETY MANAGEMENT FEE
(PSF)",Collect,CNTR,DRY,KRW 243.00,KRW 486.00,KRW 486.00
"TERMINAL HANDLING CHARGE
(THC)",Collect,CNTR,DRY,"KRW 150,000.00","KRW 210,000.00","KRW 210,000.00"
"TERMINAL SECURITY FEE
(TSF)",Collect,CNTR,DRY,KRW 86.00,KRW 172.00,KRW 172.00
"WHARFAGE
(WHG)",Collect,CNTR,DRY,"KRW 4,429.00","KRW 8,858.00","KRW 8,858.00"
